Company,Company Type,KPI Key,KPI Parameter,Category,2025 Value,2026 Value,Unit,Footnotes
"Groww","Discount","broking_income","Broking Income","Income","₹3,431.0","₹3,901.4","₹ Cr","Dominates ~81% of operations."
"Groww","Discount","distribution_income","Distribution Income","Income","NSD","NSD","₹ Cr","Zero-fee direct MF platform; monetized via Fisdom acquisition (Wealth) in Q3 FY26."
"Groww","Discount","mtf_income","MTF Income","Income","~₹39.0","~₹232.0","₹ Cr","Launched in April 2024; scaled significantly in FY26."
"Groww","Discount","total_income","Total Income","Income","₹4,061.65","₹4,815.88","₹ Cr","Consolidated Total Income."
"Groww","Discount","franchisee_expense","Franchisee/Comm. Expense","Expenses","Nil","Nil","₹ Cr","Purely direct-to-consumer digital broker with zero physical franchisee revenue share."
"Groww","Discount","employee_cost","Employee Cost","Expenses","NSD","~₹650.0","₹ Cr","FY26 employee costs include ESOP write-offs."
"Groww","Discount","it_expense","IT Expense","Expenses","NSD","NSD","text","Grouped under 'Cost to Serve' (Platform maintenance & api pipelines)."
"Groww","Discount","marketing_expense","Marketing & Biz Promotion","Expenses","NSD","NSD","text","Grouped under 'Cost to Grow' (Includes performance ads & brand awareness campaigns)."
"Groww","Discount","total_expense","Total Expense","Expenses","₹1,561.65","₹1,994.88","₹ Cr","Calculated from Total Income minus Profit Before Tax."
"Groww","Discount","pbt","Profit Before Tax (PBT)","Profitability","~₹2,500.0","₹2,821.0","₹ Cr","High operating leverage post-IPO scale."
"Groww","Discount","pat","Profit After Tax (PAT)","Profitability","₹1,824.0","₹2,083.0","₹ Cr","Consolidated Net Profit (+14.2% YoY)."
"Groww","Discount","brokerage_yield","Brokerage Yield","Profitability","Flat ₹20","Flat ₹20","text","Charges flat ₹20 or 0.05% per trade."
"Groww","Discount","turnover_cash","Turnover - Cash","Market Metrics","NSD","₹8.76 Tn","₹ Tn","Stock transaction volume (Q4 FY26 run-rate)."
"Groww","Discount","turnover_derivatives","Turnover - Derivatives","Market Metrics","NSD","₹8.63 Tn","₹ Tn","Premium turnover (Q4 FY26 run-rate)."
"Groww","Discount","market_share_cash","Market Share - Cash","Market Metrics","NSD","26.6%","%","Retail ADTO Market Share."
"Groww","Discount","market_share_derivatives","Market Share - Derivatives","Market Metrics","NSD","~27.0%","%","Retail Premium ADTO Market Share."
"Groww","Discount","mtf_portfolio","MTF Portfolio (Book)","Balance Sheet & Debt","₹601.9","₹1,668.3","₹ Cr","Reached ₹3,599.00 Cr in June 2026."
"Groww","Discount","t5_portfolio","T5 Portfolio","Balance Sheet & Debt","NSD","NSD","text","Rolled into the standard MTF client book."
"Groww","Discount","esop_portfolio","ESOP & Other Portfolio","Balance Sheet & Debt","NSD","NSD","text","Handled through inhouse NBFC (Groww CreditServ)."
"Groww","Discount","networth","Networth","Balance Sheet & Debt","NSD","~₹3,500.0","₹ Cr","Estimated post-IPO capital cushion."
"Groww","Discount","borrowing","Borrowing","Balance Sheet & Debt","₹345.94","NSD","₹ Cr","Historically minimal leverage."
"Groww","Discount","cost_of_borrowing","Avg. Cost of Borrowing","Balance Sheet & Debt","NSD","NSD","text","Not disclosed due to low bank line utilization."
"Groww","Discount","total_clients","Total Clients","Client Metrics","1.80 Cr","2.20 Cr","₹ Cr","Total registered Demat base."
"Groww","Discount","active_clients","Active Clients (NSE)","Client Metrics","~96.5 Lakh","1.29 Cr","₹ Cr","Largest active broker in India (~28.31% share)."
"Groww","Discount","new_customers","No. of New Customers Offset","Client Metrics","~40.0 Lakh","~35.0 Lakh","Lakh","Direct online additions."
"Groww","Discount","cac","Customer Acquisition Cost","Client Metrics","NSD","Spiked +73%","%","Spiked due to branding and Fisdom integration opex."
"Groww","Discount","revenue_per_new","Rev. per New Customer","Client Metrics","NSD","NSD","text","Highly transactional; sensitive to F&O shifts."
"Groww","Discount","key_business_drivers","Key Business Drivers","Client Metrics","Zero-fee MFs, F&O upsell","Zero-fee MFs, F&O upsell","text","Transitioning from free mutual funds to premium derivative cross-sell."
"Angel One","Discount","broking_income","Broking Income","Income","₹3,479.2","₹3,121.0","₹ Cr","Down ~10.3% due to regulatory true-to-label changes."
"Angel One","Discount","distribution_income","Distribution Income","Income","₹112.0","₹161.0","₹ Cr","SIP collections, insurance, and lending."
"Angel One","Discount","mtf_income","MTF Income","Income","₹1,341.0","₹1,621.1","₹ Cr","Benefited from interest rate charges."
"Angel One","Discount","total_income","Total Income","Income","₹5,247.7","₹5,136.6","₹ Cr","Consolidated Total Revenue."
"Angel One","Discount","franchisee_expense","Franchisee/Comm. Expense","Expenses","~₹450.0","NSD","₹ Cr","Paid to ~11,000+ Authorised Persons (APs)."
"Angel One","Discount","employee_cost","Employee Cost","Expenses","₹855.2","~₹1,020.0","₹ Cr","Elevated on tech and wealth hiring."
"Angel One","Discount","it_expense","IT Expense","Expenses","NSD","NSD","text","Grouped under 'Admin and Other Expenses'."
"Angel One","Discount","marketing_expense","Marketing & Biz Promotion","Expenses","~₹280.0","~₹410.0","₹ Cr","Spiked on IPL sponsorship."
"Angel One","Discount","total_expense","Total Expense","Expenses","₹3,655.7","₹3,880.4","₹ Cr","Derived from PBT."
"Angel One","Discount","pbt","Profit Before Tax (PBT)","Profitability","₹1,592.0","₹1,271.8","₹ Cr","Margins compressed by F&O true-to-label limits."
"Angel One","Discount","pat","Profit After Tax (PAT)","Profitability","₹1,172.1","₹915.1","₹ Cr","Net Profit (-21.9% YoY)."
"Angel One","Discount","brokerage_yield","Brokerage Yield","Profitability","Flat ₹20","Flat ₹20","text","Standardized flat structure (₹20 per trade)."
"Angel One","Discount","turnover_cash","Turnover - Cash","Market Metrics","NSD","NSD","₹ Bn","Multi-year cash segment recovery ADTO."
"Angel One","Discount","turnover_derivatives","Turnover - Derivatives","Market Metrics","NSD","NSD","₹ Bn","Based on Option Premium ADTO."
"Angel One","Discount","market_share_cash","Market Share - Cash","Market Metrics","17.4%","18.0%","%","Steady growth in cash market penetration."
"Angel One","Discount","market_share_derivatives","Market Share - Derivatives","Market Metrics","21.8%","19.7%","%","NSE F&O market share contracted."
"Angel One","Discount","mtf_portfolio","MTF Portfolio (Book)","Balance Sheet & Debt","₹3,700.0","₹5,450.0","₹ Cr","Key margin counter-balance (+46.3% YoY)."
"Angel One","Discount","t5_portfolio","T5 Portfolio","Balance Sheet & Debt","NSD","NSD","text","Integrated into standard client margin ledger."
"Angel One","Discount","esop_portfolio","ESOP & Other Portfolio","Balance Sheet & Debt","NSD","NSD","text","Non-disclosed; wealth AUM stands at ₹43.4 Bn."
"Angel One","Discount","networth","Networth","Balance Sheet & Debt","~₹4,000.0","₹6,150.0","₹ Cr","Comfortable capital ratios."
"Angel One","Discount","borrowing","Borrowing","Balance Sheet & Debt","₹3,380.0","₹7,880.0","₹ Cr","Increased to fund the growing MTF book."
"Angel One","Discount","cost_of_borrowing","Avg. Cost of Borrowing","Balance Sheet & Debt","7.8%","8.1%","%","CoF increased on bank MCLR revisions."
"Angel One","Discount","total_clients","Total Clients","Client Metrics","3.10 Cr","3.74 Cr","₹ Cr","DEMAT register base."
"Angel One","Discount","active_clients","Active Clients (NSE)","Client Metrics","~75.75 Lakh","67.62 Lakh","Lakh","De-growth in active client base registered with NSE."
"Angel One","Discount","new_customers","No. of New Customers Offset","Client Metrics","~62.0 Lakh","~69.6 Lakh","Lakh","Aggressive H1 FY26 marketing."
"Angel One","Discount","cac","Customer Acquisition Cost","Client Metrics","~19% of Net Rev","Elevated","%","Spiked due to seasonal e-commerce ad inflation."
"Angel One","Discount","revenue_per_new","Rev. per New Customer","Client Metrics","NSD","NSD","text","Payback period stretched from 7 to 10 months."
"Angel One","Discount","key_business_drivers","Key Business Drivers","Client Metrics","F&O Volume, MTF Book","F&O Volume, MTF Book","text","Pivoting to multi-asset wealth to buffer F&O opex."
"IIFL Capital Services","Traditional Advisory","broking_income","Broking Income","Income","~₹1,800.0","~₹1,750.0","₹ Cr","Consolidated broking fees and charges."
"IIFL Capital Services","Traditional Advisory","distribution_income","Distribution Income","Income","₹255.83","₹284.70","₹ Cr","Insurance and mutual fund commissions."
"IIFL Capital Services","Traditional Advisory","mtf_income","MTF Income","Income","~₹110.0","~₹180.0","₹ Cr","High growth in retail client financing."
"IIFL Capital Services","Traditional Advisory","total_income","Total Income","Income","₹2,405.0","₹2,439.0","₹ Cr","Consolidated Operating Revenue."
"IIFL Capital Services","Traditional Advisory","franchisee_expense","Franchisee/Comm. Expense","Expenses","NSD","NSD","text","Distributed via physical partner network split."
"IIFL Capital Services","Traditional Advisory","employee_cost","Employee Cost","Expenses","NSD","NSD","text","High institutional research/IB analyst cost base."
"IIFL Capital Services","Traditional Advisory","it_expense","IT Expense","Expenses","NSD","NSD","text","Grouped under 'Other Operating Expenses'."
"IIFL Capital Services","Traditional Advisory","marketing_expense","Marketing & Biz Promotion","Expenses","NSD","NSD","text","Minimal branding spend compared to discount brokers; relationship-driven."
"IIFL Capital Services","Traditional Advisory","total_expense","Total Expense","Expenses","₹1,480.40","₹1,682.50","₹ Cr","Derived from Operating PBT subtraction."
"IIFL Capital Services","Traditional Advisory","pbt","Profit Before Tax (PBT)","Profitability","₹924.6","₹756.3","₹ Cr","Dragged down by regulatory impacts on certain segments."
"IIFL Capital Services","Traditional Advisory","pat","Profit After Tax (PAT)","Profitability","₹713.0","₹564.0","₹ Cr","Net profit down 21% YoY."
"IIFL Capital Services","Traditional Advisory","brokerage_yield","Brokerage Yield","Profitability","Relationship-Tiered","Relationship-Tiered","text","High-touch relationship pricing (advisory model)."
"IIFL Capital Services","Traditional Advisory","turnover_cash","Turnover - Cash","Market Metrics","NSD","NSD","text","Handled through institutional execution tables."
"IIFL Capital Services","Traditional Advisory","turnover_derivatives","Turnover - Derivatives","Market Metrics","NSD","NSD","text","Primarily HNI/Corporate derivatives."
"IIFL Capital Services","Traditional Advisory","market_share_cash","Market Share - Cash","Market Metrics","~1.0%","~1.0%","%","Maintained stable, low-churn market share."
"IIFL Capital Services","Traditional Advisory","market_share_derivatives","Market Share - Derivatives","Market Metrics","<1.0%","<1.0%","%","Minimal discount derivative presence."
"IIFL Capital Services","Traditional Advisory","mtf_portfolio","MTF Portfolio (Book)","Balance Sheet & Debt","₹931.0","₹1,445.0","₹ Cr","Funded via bank borrowings and short-term debt."
"IIFL Capital Services","Traditional Advisory","t5_portfolio","T5 Portfolio","Balance Sheet & Debt","NSD","NSD","text","Grouped inside standard client ledger."
"IIFL Capital Services","Traditional Advisory","esop_portfolio","ESOP & Other Portfolio","Balance Sheet & Debt","NSD","NSD","text","Handled via parent/NBFC arm IIFL Wealth Finance."
"IIFL Capital Services","Traditional Advisory","networth","Networth","Balance Sheet & Debt","₹2,510.0","₹3,070.0","₹ Cr","Strengthened by Fairfax recapitalization."
"IIFL Capital Services","Traditional Advisory","borrowing","Borrowing","Balance Sheet & Debt","₹1,053.1","₹1,741.8","₹ Cr","Used to fund institutional guarantees & MTF."
"IIFL Capital Services","Traditional Advisory","cost_of_borrowing","Avg. Cost of Borrowing","Balance Sheet & Debt","~8.5%","~9.1%","%","Cost of funds increased due to NBFC market tightness."
"IIFL Capital Services","Traditional Advisory","total_clients","Total Clients","Client Metrics","~24.0 Lakh","~25.0 Lakh","Lakh","Institutional & physical HNI base."
"IIFL Capital Services","Traditional Advisory","active_clients","Active Clients (NSE)","Client Metrics","~4.9 Lakh","3,42,801","Lakh","Churn in retail cash client base."
"IIFL Capital Services","Traditional Advisory","new_customers","No. of New Customers Offset","Client Metrics","NSD","NSD","text","Focused on client asset size rather than account count."
"IIFL Capital Services","Traditional Advisory","cac","Customer Acquisition Cost","Client Metrics","NSD","NSD","text","Advisory models rely on partner commissions rather than direct ad acquisition opex."
"IIFL Capital Services","Traditional Advisory","revenue_per_new","Rev. per New Customer","Client Metrics","NSD","NSD","text","Retains a very high Average Revenue Per Client (ARPC)."
"IIFL Capital Services","Traditional Advisory","key_business_drivers","Key Business Drivers","Client Metrics","Institutional, IB Deals","Institutional, IB Deals","text","Shift to wealth/mutual fund distribution assets (AUM)."
"Anand Rathi","Traditional Advisory","broking_income","Broking Income","Income","₹510.27","₹475.51","₹ Cr","Slipped 6.8% due to derivative margins."
"Anand Rathi","Traditional Advisory","distribution_income","Distribution Income","Income","₹78.43","₹112.87","₹ Cr","Strong insurance/MF distribution growth (+44% YoY)."
"Anand Rathi","Traditional Advisory","mtf_income","MTF Income","Income","₹142.84","₹192.29","₹ Cr","Key profitability driver (+34.6% YoY)."
"Anand Rathi","Traditional Advisory","total_income","Total Income","Income","₹845.70","₹932.16","₹ Cr","Consolidated Operational Revenue."
"Anand Rathi","Traditional Advisory","franchisee_expense","Franchisee/Comm. Expense","Expenses","NSD","NSD","text","Shared with domestic sub-brokers."
"Anand Rathi","Traditional Advisory","employee_cost","Employee Cost","Expenses","NSD","NSD","text","Grouped under total employee opex (NSD on broking level)."
"Anand Rathi","Traditional Advisory","it_expense","IT Expense","Expenses","NSD","NSD","text","Included inside Broking Administration costs."
"Anand Rathi","Traditional Advisory","marketing_expense","Marketing & Biz Promotion","Expenses","NSD","NSD","text","Localized client acquisition; minimal digital brand ad spend."
"Anand Rathi","Traditional Advisory","total_expense","Total Expense","Expenses","₹534.43","₹552.66","₹ Cr","Derived from EBITDA and PBT calculations."
"Anand Rathi","Traditional Advisory","pbt","Profit Before Tax (PBT)","Profitability","₹142.13","₹174.50","₹ Cr","Operating profit before tax."
"Anand Rathi","Traditional Advisory","pat","Profit After Tax (PAT)","Profitability","₹103.61","₹129.27","₹ Cr","Net profit grew 24.8% YoY."
"Anand Rathi","Traditional Advisory","brokerage_yield","Brokerage Yield","Profitability","Relationship-Tiered","Relationship-Tiered","text","Advisory-pricing model based on client volume tiers."
"Anand Rathi","Traditional Advisory","turnover_cash","Turnover - Cash","Market Metrics","NSD","NSD","text","Focused primarily on high-delivery cash clients."
"Anand Rathi","Traditional Advisory","turnover_derivatives","Turnover - Derivatives","Market Metrics","NSD","NSD","text","Balanced 50:50 broking mix between cash & F&O."
"Anand Rathi","Traditional Advisory","market_share_cash","Market Share - Cash","Market Metrics","NSD","NSD","text","Held 27th position overall in active NSE base."
"Anand Rathi","Traditional Advisory","market_share_derivatives","Market Share - Derivatives","Market Metrics","NSD","NSD","text","Low retail speculative market share."
"Anand Rathi","Traditional Advisory","mtf_portfolio","MTF Portfolio (Book)","Balance Sheet & Debt","₹685.51","₹1,101.93","₹ Cr","Zero NPAs; high-quality collateral."
"Anand Rathi","Traditional Advisory","t5_portfolio","T5 Portfolio","Balance Sheet & Debt","NSD","NSD","text","Standardized T+5 funding is merged with MTF ledgers."
"Anand Rathi","Traditional Advisory","esop_portfolio","ESOP & Other Portfolio","Balance Sheet & Debt","NSD","NSD","text","ESOP funding is handled under the parent organization."
"Anand Rathi","Traditional Advisory","networth","Networth","Balance Sheet & Debt","~₹1,050.0","~₹1,800.0","₹ Cr","Post-IPO capital raise in September 2025."
"Anand Rathi","Traditional Advisory","borrowing","Borrowing","Balance Sheet & Debt","~₹880.0","NSD","₹ Cr","Leverage (Debt/Equity) fell below 0.6x."
"Anand Rathi","Traditional Advisory","cost_of_borrowing","Avg. Cost of Borrowing","Balance Sheet & Debt","7.5%","7.5%","%","Implied cost of funds is highly optimized."
"Anand Rathi","Traditional Advisory","total_clients","Total Clients","Client Metrics","~3.5 Lakh","~4.2 Lakh","Lakh","Retained high-net-worth individual (HNI) focus."
"Anand Rathi","Traditional Advisory","active_clients","Active Clients (NSE)","Client Metrics","1,47,942","2,12,841","Lakh","Relationship expansion in Tier 2/3 cities."
"Anand Rathi","Traditional Advisory","new_customers","No. of New Customers Offset","Client Metrics","NSD","NSD","text","Organic relationship additions."
"Anand Rathi","Traditional Advisory","cac","Customer Acquisition Cost","Client Metrics","NSD","NSD","text","Scaled primarily via offline advisor channels."
"Anand Rathi","Traditional Advisory","revenue_per_new","Rev. per New Customer","Client Metrics","NSD","NSD","text","High relationship-led Average Revenue Per User."
"Anand Rathi","Traditional Advisory","key_business_drivers","Key Business Drivers","Client Metrics","Tier 2/3 Relationship, MTF","Tier 2/3 Relationship, MTF","text","Cross-selling third-party insurance & scaling MTF books."
"Geojit Financial","Traditional Advisory","broking_income","Broking Income","Income","~₹367.46","~₹223.06","₹ Cr","Declined due to transactional retail volume drops."
